,Unnamed: 0,LPloc,LPlocerr,LPscale,LPscaleerr,RPloc,RPlocerr,RPscale,RPscaleerr,RSPloc,RSPlocerr,RSPscale,RSPscaleerr,SampleA,SampleB,amplitude,amplitudeerr,chisquared,ctime,length,location,locationerr,mtime,numofsamples,scale,scaleerr,uniquename,DOI,TimeResolution,TimeResolutionerr,CTR,CTRerr,ERright,ERrighterr,ERleft,ERlefterr
46,46,0.691359352759807,0.00023979599253600762,0.020896951518844176,0.00014856175433854008,0.5814870991771874,0.00023873685176103722,0.021555243519884332,0.00015066375497453408,0.0,0.0,0.0,0.0,5A,5B,44424.02598059528,0.0,1.034808477773273,1380124184.0,5,-62.48193549840367,1.5431871829955348,1375512584.0,1842,62.82580191045608,1.345935130478791,Run_5Avs5B_SW_00034,,44.42455056436624,0.9517198577987537,147.93375337933958,3.16922712646985,8.729789287012112,0.06112340385255754,7.11819701728624,0.050665268126877966
47,47,0.8221737017411469,0.000399315496396715,0.03229058981387186,0.00022362922827689986,0.7626867859489728,0.00024728378031227573,0.023731849816934863,0.0001475645083641923,0.3996014382922255,0.3996014382922255,0.0614699461406211,0.0614699461406211,5A,5B,5041.262836848617,0.0,0.7118328449394966,1380124184.0,5,-217.55763138241082,5.470958097127764,1375519808.0,232,73.37925950443714,5.5396654249975965,Run_5Avs5B_SW_00038,,51.88697199403492,3.9171349875204577,172.7836167401363,13.044059508443125,7.327845106080125,0.045626400871191346,9.249181632862543,0.06421274504612769
48,48,0.4625309230450799,0.00021090714387159086,0.01855935194956072,0.0001420697401882445,0.3642144162536261,0.0001942439327088556,0.01632389923961505,0.00014120358596655502,0.0,0.0,0.0,0.0,5A,5B,63519.70011858196,0.0,1.0750035633977937,1380124184.0,5,-26.919227228976588,1.4407328482124613,1375521616.0,2571,72.93044883351969,1.1136598302646183,Run_5Avs5B_SW_00039,,51.5696149251603,0.7874764179151711,171.7268177007838,2.6222964716575197,10.55498656662817,0.09147520506021922,9.449589565486335,0.0724637607991846
49,49,0.4409569291828236,0.0001925947165972764,0.02003471463683057,0.00012899568175954446,0.363854038507088,0.0001731631151493311,0.017938887158291537,0.0001137930648383094,0.0,0.0,0.0,0.0,30A,30B,75331.98279537201,0.0,1.5632644829428255,1376465076.0,30,-39.73286358504151,1.8052131864548064,1376465076.0,3117,98.32201060656321,1.469284885366705,Run_30Avs30B_SW_00005,,69.52416043979649,1.0389413059376962,231.5154542645223,3.4596745487725284,11.610721549529703,0.07385813850415605,10.699855211975619,0.06905050401505473
50,50,0.6502212199536366,0.000175001419103771,0.02265035035747831,0.00010916836268209784,0.5583047681057339,0.0001804064730772704,0.02639985002732096,0.00010120816708120258,0.0,0.0,0.0,0.0,30A,30B,63176.244379987394,0.0,1.0119381362397604,1376465071.0,30,-96.16100378460573,1.8708638557964952,1376465070.0,2688,94.07077243621978,1.7132729750590443,Run_30Avs30B_SW_00002,,66.51808110110757,1.211466938687901,221.50521006668822,4.03418490583071,11.135790049811387,0.042842262904846044,8.203604166542718,0.03960068015320842
51,51,0.7689040032067269,0.0004378392092536337,0.022488130204576167,0.0002675351222417089,0.6640699243313459,0.0003840710752387636,0.020058729283819347,0.00025504638125881183,0.0,0.0,0.0,0.0,5A,5B,17106.746341456008,0.0,0.6040787601600772,1380124184.0,5,-78.05670801035795,2.9381399209600754,1375661252.0,701,72.60331513143166,2.8650321123159377,Run_5Avs5B_SW_00212,,51.3382964660592,2.0258836349358176,170.95652723197713,6.746192504336273,7.113453829573589,0.09054095751241557,6.887666914323272,0.08203449618387303
52,52,0.7700456090698536,0.00042365048560995353,0.022646578278972374,0.0002570987434316388,0.6627595423212702,0.00041159031247429046,0.021093596638700668,0.00026671466471873853,0.4303148529520767,0.4303148529520767,0.13238189145249235,0.13238189145249235,5A,5B,8820.63554982182,0.0,1.0622714914631914,1380124184.0,5,-79.854388268478,3.5862381106378263,1375650952.0,395,68.1537602447716,2.7463094146950735,Run_5Avs5B_SW_00195,,48.191986032440134,1.9419340103673446,160.47931348802564,6.4666402545232575,7.495240266199003,0.09488662596786085,6.925913376923358,0.07871976444477566
53,53,0.7715312517488573,0.0004172940374308034,0.021609893344798514,0.0002640147378042616,0.6644555881621291,0.0003899419392964187,0.01966948794007465,0.00024847591089355216,0.4165222357739864,0.4165222357739864,0.4990291247629949,0.4990291247629949,5A,5B,8657.340825257705,0.0,0.5242807608671054,1380124184.0,5,-66.03760207267295,3.5290694056033947,1375650346.0,389,67.42091983757005,2.9798524175078653,Run_5Avs5B_SW_00194,,47.67378961098041,2.1070738513549387,158.75371940456475,7.0165559250119465,6.971367977655292,0.08816117709967848,6.596142244613343,0.08066603726252895
54,54,0.7699980557022005,0.00044561068702135467,0.022851723129140324,0.00026593403029435324,0.6656884733846403,0.00039488233632462797,0.019415903634979602,0.0002619947320794242,0.0,0.0,0.0,0.0,5A,5B,10019.979555055601,0.0,0.6718294314174234,1380124184.0,5,-87.37961859462013,3.2628407029882283,1375652164.0,439,64.49016191497412,2.6420783016445117,Run_5Avs5B_SW_00197,,45.60143080989663,1.8682314835186706,151.85276459695578,6.221210840117173,6.868746401435285,0.09277515088723283,6.989083617886292,0.08143508199487254
55,55,0.7713147403948749,0.0004527904755723489,0.02299667962685224,0.0002754761073465524,0.6643628056081913,0.00042747422498491417,0.02041860194970517,0.00028952329393098434,0.0,0.0,0.0,0.0,5A,5B,8911.5392353744,0.0,0.6444948192020732,1380124184.0,5,-86.4010926493359,3.5266189197241875,1375651558.0,387,68.53886135099111,2.4788272690051416,Run_5Avs5B_SW_00196,,48.46429363609039,1.7527955713036656,161.386097808181,5.836809252441206,7.237883756532019,0.10273437840392147,7.021411323412701,0.0842100809958219
