,Unnamed: 0,LPloc,LPlocerr,LPscale,LPscaleerr,RPloc,RPlocerr,RPscale,RPscaleerr,RSPloc,RSPlocerr,RSPscale,RSPscaleerr,SampleA,SampleB,amplitude,amplitudeerr,chisquared,ctime,length,location,locationerr,mtime,numofsamples,scale,scaleerr,uniquename,DOI,TimeResolution,TimeResolutionerr,CTR,CTRerr,ERright,ERrighterr,ERleft,ERlefterr
10,10,0.6702985110686064,0.00042107471731203834,0.025762542091259485,0.0002466980546264441,0.6386149088871834,0.0003824011583918976,0.029093244861881414,0.00021401308245904606,0.3058524490562584,0.3058524490562584,0.1093700998258152,0.1093700998258152,23972,24044ReferenceDOI6th,25363.56762772541,0,0.7551564835651474,1379938504.0,20,-123.13480935795508,2.159901332798329,1376464201.0,1049,67.3775092920434,2.205170955147933,Run_23972vs24044ReferenceDOI6th_00029,,47.6430937198635,1.5592913360607195,158.65150208714547,5.192440149082196,10.728623885264538,0.07918196836122716,9.051308577158142,0.08686021150284948
11,11,0.6750002141226988,0.00041091527520110266,0.024072383302248115,0.00024553730662145657,0.651760070481371,0.00039474793927314714,0.03036604882275008,0.0002170897153259225,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,14870.09058132566,0,0.5585474460762523,1379938504.0,20,-116.45296315201031,2.42750258705218,1376464169.0,640,59.15272520003646,1.7810364430812031,Run_23972vs24044ReferenceDOI6th_00012,,41.82729311461015,1.259382946443087,139.2848860716518,4.19374521165548,10.972142697351762,0.07872186586058064,8.39858439903981,0.08581764715022326
12,12,0.673003145031337,0.0004101906552088618,0.025752349438372228,0.000244775920442253,0.6497585435271998,0.0003907575808560401,0.02913647119999308,0.0002214410099741273,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,15420.176584985747,0,0.969213500498762,1379938504.0,20,-124.55346356747845,2.3299354232720426,1376464171.0,664,56.604044186090725,2.008872796687004,Run_23972vs24044ReferenceDOI6th_00013,,40.02510348656772,1.420487577078565,133.2835946102705,4.730223631671621,10.560290489371816,0.08051047044739437,9.011366941612541,0.0858289004644194
13,13,0.6727442979670577,0.00042523317427511237,0.02540136504229137,0.000248143222946233,0.6559405464577012,0.0003893214489522793,0.030798196865833568,0.0002190259854967374,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,15223.339348668662,0,1.2079641421923262,1379938504.0,20,-116.01160808060791,2.2902698712381,1376464165.0,695,58.32968306738918,1.7492176380341955,Run_23972vs24044ReferenceDOI6th_00010,,41.24531444141303,1.2368836536250953,137.34689708990538,4.118822566571567,11.057367014544692,0.07890951145599447,8.891969037175755,0.08704634090962197
14,14,0.6743035941410395,0.00040328697359246217,0.024771358596937257,0.00024260010965500517,0.6546753791297908,0.0003969318088690234,0.02937753678772981,0.0002282412110339416,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,15870.246208706303,0,1.005121832747999,1379938504.0,20,-116.55626491093844,2.2788695161530437,1376464167.0,694,55.5010480925805,1.9592629204077,Run_23972vs24044ReferenceDOI6th_00011,,39.24516746922436,1.3854080971476435,130.68640767251713,4.613408963501652,10.567695279309994,0.08235261568183384,8.651377510466805,0.08488574120194936
15,15,0.6718787340663239,0.0004387681159417673,0.0277799871532841,0.0002550451797793913,0.6473688722091739,0.000381604300513689,0.029023166694047108,0.00021309770880687665,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,16512.566796782492,0,0.4315574987439592,1379938504.0,20,-126.82082311063408,2.3505720025878123,1376464176.0,705,60.002404498159635,1.9077333816116808,Run_23972vs24044ReferenceDOI6th_00016,,42.428107108146875,1.348971210833563,141.2855966701291,4.492074132075765,10.558054379605116,0.07777016213733871,9.73715440434315,0.08962167351968037
16,16,0.6716418500369892,0.0004430853682379034,0.026686351197855625,0.00025333970700426616,0.6463942090105704,0.0003965402227370224,0.028570006960958964,0.0002214360429563757,0.33281661742073804,0.33281661742073804,0.4541157026221426,0.4541157026221426,23972,24044ReferenceDOI6th,15945.620123131768,0,0.5386191987377279,1379938504.0,20,-128.5353363815769,2.2170688894531776,1376464178.0,671,56.082922337273814,1.6070903638256475,Run_23972vs24044ReferenceDOI6th_00017,,39.65661469344481,1.1363844942406711,132.0565269291712,3.784160365821435,10.408875180990071,0.08092783010143859,9.357123453145284,0.0890435651492556
17,17,0.6727191863757591,0.00041120979709454087,0.02541315512281636,0.0002364972466923426,0.6482341490882412,0.0003868754536331784,0.030937233041565933,0.00021401165550698052,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,16348.046716399316,0,0.5395484319786629,1379938504.0,20,-121.67419030502009,2.2316910245067167,1376464173.0,690,56.734431451808355,2.119620184832529,Run_23972vs24044ReferenceDOI6th_00014,,40.117301206337025,1.4987978062349645,133.5906130171023,4.990996694762432,11.239331330409446,0.07803810997087035,8.896428335374306,0.08296941719087803
18,18,0.6732705419652205,0.0004000038763700335,0.024819313086182283,0.00023877578970592296,0.6476509926367102,0.0003758578789449439,0.02813789845125898,0.00022382976258566049,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,16357.114959625915,0,0.8320311977350074,1379938504.0,20,-123.6809691040338,2.274487589065044,1376464175.0,697,58.08969395010264,2.18614200619889,Run_23972vs24044ReferenceDOI6th_00015,,41.07561650916874,1.5458358372199985,136.78180297553192,5.147633337942596,10.231552426552842,0.08160568299771816,8.681425767916434,0.08367932165655366
19,19,0.6707404529027099,0.0004209251416806791,0.024693417229319118,0.00025376821822477844,0.6416886306037534,0.00036693097342091637,0.02705002530955196,0.00022532142513154014,0.0,0.0,0.0,0.0,23972,24044ReferenceDOI6th,25247.163761444262,0,0.4409867856332085,1379938504.0,20,-120.84287284774356,2.1877545726036693,1376464202.0,1027,71.60933874086746,1.8054429352844108,Run_23972vs24044ReferenceDOI6th_00030,,50.63544901995192,1.2766409425849519,168.6160452364399,4.25121433880789,9.927370778574964,0.08288767482116983,8.669970228183262,0.08926513604289582
