,Unnamed: 0,LPloc,LPlocerr,LPscale,LPscaleerr,RPloc,RPlocerr,RPscale,RPscaleerr,RSPloc,RSPlocerr,RSPscale,RSPscaleerr,SampleA,SampleB,amplitude,amplitudeerr,chisquared,ctime,length,location,locationerr,mtime,numofsamples,scale,scaleerr,uniquename,configuration,specialkey,DOI,TimeResolution,TimeResolutionerr,CTR,CTRerr,ERright,ERrighterr,ERleft,ERlefterr
12,12,0.5963291054006221,0.0003987900280861845,0.02770463267683433,0.00022737719138991234,0.4724000495349158,0.00037237971801611466,0.03268684970663645,0.0002083419826024532,0.7088720684890717,0.7088720684890717,0.0647069059516094,0.0647069059516094,23972,20A,6582.580312033252,0.0,1.2728922847127104,1379439382.0,20,109.51536323462878,5.341123877416184,1379439382.0,371,73.71771600092963,5.9118119535994085,Run_23972vs20A_35mm,wrapped,normal,-1.0,61.66150867756737,7.09800745391467,205.33282389629935,23.636364821535853,16.294987931291338,0.10465352412252606,10.94100713231375,0.09009252534056544
13,13,0.6016633098179394,0.00019581110768277575,0.02736345917156289,0.00011591766332983108,0.484260544312218,0.00018664206247708692,0.030351843885844783,9.927499045737303e-05,0.6873830938058815,0.6873830938058815,0.06654280494465753,0.06654280494465753,23972,20B,69373.65454331791,0.0,1.3761982066859944,1379439384.0,20,154.09226978070734,1.4921749936859772,1379439384.0,2997,76.76640881820181,1.359059664410077,Run_23972vs20B_32mm,wrapped,normal,2.0,65.27573456379709,1.7139464460216856,217.3681960974443,5.707441665252213,14.760358486914015,0.048612288410307646,10.710466351775738,0.04550560257218629
15,15,0.6199011911734112,0.00017500746345121984,0.02544600737145434,0.00010479191931688932,0.4939394645238765,0.00014561397858963132,0.024439619913487132,9.108995827205438e-05,0.7179032339405114,0.7179032339405114,0.04212375445342434,0.04212375445342434,23972,30B,77577.57875595486,0.0,2.321326850646352,1379439399.0,30,364.62515998591766,1.3810707494551084,1379439399.0,3403,76.20011699288685,1.2496075447284265,Run_23972vs30B_9mm,wrapped,normal,25.0,64.60880613143725,1.600961839155178,215.14732441768604,5.331202924386743,11.652299326141419,0.04356542549322066,9.66691921439,0.03990380679037556
16,16,0.6251687855876098,0.000194075654600401,0.027866444000108046,0.00010602953290780748,0.4864375525837605,0.0001538915425356741,0.025173060334860862,8.89727805528485e-05,0.7164255038205729,0.7164255038205729,0.06465850440619526,0.06465850440619526,23972,30B,77602.39352497974,0.0,1.9428496694016333,1379439390.0,30,361.9652642671312,1.5680420035929687,1379439390.0,3420,80.6224130756818,1.3553185099952887,Run_23972vs30B_14mm,wrapped,normal,20.0,69.76971757249608,1.6697564157293117,232.33315951641194,5.560288864378608,12.187084811547185,0.043246782252605885,10.497241246389425,0.040073858598050065
17,17,0.6054917379226266,0.00033387802719764037,0.028473941351777412,0.00018567276615872157,0.4512519500801054,0.00023649363637242505,0.02597994817694806,0.00013900842072012433,0.7025262504307243,0.7025262504307243,0.1277271499251008,0.1277271499251008,23972,20B,14890.330970753928,0.0,1.03105497245438,1379439393.0,20,270.8449729932338,4.176630670739674,1379439393.0,732,87.38088977704454,4.529179652478153,Run_23972vs20B_20mm,wrapped,normal,14.0,77.48070661931271,5.134445199974416,258.01075304231136,17.097702515914804,13.558451757571714,0.07289307770828465,11.074656792757864,0.07247332062570984
18,18,0.6066426294109575,0.0002805618493412663,0.02966425839597147,0.00015683394419483082,0.4520377333286677,0.00021664666704640512,0.025558594774671664,0.0001245463316485027,0.6820450144622081,0.6820450144622081,0.049601058516109325,0.049601058516109325,23972,20B,26846.04279798436,0.0,0.9994079900615691,1379439395.0,20,257.1138345391214,2.5872391570061817,1379439395.0,1258,80.36801500472887,2.6000694025822955,Run_23972vs20B_22mm,wrapped,normal,12.0,69.47559165491379,3.063406510300852,231.35372021086292,10.201143679301836,13.315368664276628,0.06519849355442621,11.515730206818034,0.06111577857569285
19,19,0.6063499654833989,0.0002369173231917271,0.028070482736023285,0.00012817090969992806,0.4621988566367791,0.0001883475971026907,0.025630097642520302,0.00011136707399047917,0.6821805437170109,0.6821805437170109,0.06500229999570943,0.06500229999570943,23972,20B,46154.38359041786,0.0,1.1462239729977235,1379439378.0,20,232.7502230613635,1.830445904381832,1379439378.0,2055,77.57906012532631,1.7475433767369637,Run_23972vs20B_26mm,wrapped,normal,8.0,66.22952944064298,2.1359695686457014,220.54433303734112,7.112778663590186,13.059071670436559,0.05699284978654015,10.902282610114987,0.04996217299302798
21,21,0.6035818029574239,0.00020516228227027882,0.026745858466655704,0.00011994271270518599,0.4715085428024179,0.00018378288190641152,0.028640210488509843,0.00010047551942822961,0.6890783112470134,0.6890783112470134,0.07521397670554009,0.07521397670554009,23972,20A,64795.056801062536,0.0,1.3713930350397234,1379439402.0,20,189.76588006240917,1.6406070214792994,1379439402.0,2816,81.60539633824341,1.4705264542648422,Run_23972vs20A_30mm,wrapped,normal,4.0,70.90331946758057,1.7858248381223625,236.1080538270433,5.946796710947467,14.304660377851125,0.05049236405393086,10.435453219489652,0.046932379740476454
22,22,0.6285261734895009,0.00022600254926742584,0.02630824611273857,0.00012557421277936524,0.4919602273035452,0.00024496990409551123,0.03843369666531077,0.00012445756969820614,0.7325246781412892,0.7325246781412892,0.06984862306876287,0.06984862306876287,23972,30B,45899.37442640692,0.0,1.219193087380845,1379439405.0,30,141.28732514955138,2.067469757639643,1379439405.0,2039,82.1896485206888,1.8936793795538136,Run_23972vs30B_34mm,wrapped,normal,0.0,71.5749839256312,2.246577256159527,238.3446964723519,7.481102263011226,18.398104282312296,0.06027774674274149,9.857333267686785,0.047184225047906196
23,23,0.6231147713787116,0.00018948961171685814,0.02633513944334356,0.00010442269555678442,0.4486995493095953,0.0001756937626768327,0.0320667877031566,9.388556988738632e-05,0.6590586986080832,0.6590586986080832,0.08171576437824885,0.08171576437824885,23972,30A,85069.18348264594,0.0,1.2950245265125593,1379439408.0,30,217.40147836588173,1.4996916861638232,1379439408.0,3689,84.47010033421721,1.3602137366970708,Run_23972vs30A_31.5mm,wrapped,normal,2.5,74.18246322732026,1.641805094029022,247.02760254697645,5.467210963116644,16.830256495049007,0.049714572351409414,9.953102740904296,0.03958140965153408
